Date2;Fecha;Zinc;Steel;Zinc_100;Steel_100
15/01/2007;3;3786.7;790.0;100.0;100.0
15/02/2007;34;3309.5;790.0;87.4;100.0
15/03/2007;62;3271.3;835.0;86.4;105.7
15/04/2007;93;3557.5;835.0;93.9;105.7
15/05/2007;123;3831.3;845.0;101.2;107.0
15/06/2007;154;3602.9;845.0;95.1;107.0
15/07/2007;184;3545.6;840.0;93.6;106.3
15/08/2007;215;3252.5;830.0;85.9;105.1
15/09/2007;246;2881.4;820.0;76.1;103.8
15/10/2007;276;2975.3;840.0;78.6;106.3
15/11/2007;307;2541.3;850.0;67.1;107.6
15/12/2007;337;2353.1;850.0;62.1;107.6
15/01/2008;368;2340.1;860.0;61.8;108.9
15/02/2008;399;2438.1;900.0;64.4;113.9
15/03/2008;428;2511.5;1020.0;66.3;129.1
15/04/2008;459;2263.8;1140.0;59.8;144.3
15/05/2008;489;2182.1;1280.0;57.6;162.0
15/06/2008;520;1894.5;1400.0;50.0;177.2
15/07/2008;550;1852.4;1250.0;48.9;158.2
15/08/2008;581;1723.3;1152.0;45.5;145.8
15/09/2008;612;1735.5;1150.0;45.8;145.6
15/10/2008;642;1302.1;1054.0;34.4;133.4
15/11/2008;673;1152.6;965.0;30.4;122.2
15/12/2008;703;1100.6;894.0;29.1;113.2
15/01/2009;734;1187.4;903.0;31.4;114.3
15/02/2009;765;1112.1;882.0;29.4;111.6
15/03/2009;793;1216.8;841.0;32.1;106.5
15/04/2009;824;1378.9;763.0;36.4;96.6
15/05/2009;854;1483.8;759.0;39.2;96.1
15/06/2009;885;1557.3;776.0;41.1;98.2
15/07/2009;915;1578.6;775.0;41.7;98.1
15/08/2009;946;1821.7;781.0;48.1;98.9
15/09/2009;977;1884.0;742.0;49.8;93.9
15/10/2009;1007;2071.6;705.0;54.7;89.2
15/11/2009;1038;2193.4;699.0;57.9;88.5
15/12/2009;1068;2376.0;691.0;62.7;87.5
15/01/2010;1099;2434.5;700.0;64.3;88.6
